id,Actor1,Actor2,Actor3,Director_Name,original_title,genres_list,Comb
6436,Jay Underwood,Jennifer Bransford,Chris Conrad,Jim Johnston,Star Command,Drama Sci-Fi Thriller,Jay Underwood Jennifer Bransford Chris Conrad Jim Johnston Drama Sci-Fi Thriller
6439,Frankie Muniz,Mandy Moore,Hayden Panettiere,Frederik Du Chau,Racing Stripes,Comedy,Frankie Muniz Mandy Moore Hayden Panettiere Frederik Du Chau Comedy
6440,Kevin Spacey,Julianne Moore,Cate Blanchett,Lasse Hallström,The Shipping News,Drama Romance,Kevin Spacey Julianne Moore Cate Blanchett Lasse Hallström Drama Romance
6443,Eva Löbau,Daniela Holtz,Jan Neumann,Maren Ade,Der Wald vor lauter Bäumen,Drama,Eva Löbau Daniela Holtz Jan Neumann Maren Ade Drama
6444,Tsilla Chelton,Isabelle Nanty,Catherine Jacob,Étienne Chatiliez,Tatie Danielle,Comedy Drama,Tsilla Chelton Isabelle Nanty Catherine Jacob Étienne Chatiliez Comedy Drama
6461,Elmar Wepper,Hannelore Elsner,Nadja Uhl,Doris Dörrie,Kirschblüten - Hanami,Drama Romance,Elmar Wepper Hannelore Elsner Nadja Uhl Doris Dörrie Drama Romance
6463,Danny DeVito,Gregory Peck,Penelope Ann Miller,Norman Jewison,Other People's Money,Comedy Drama,Danny DeVito Gregory Peck Penelope Ann Miller Norman Jewison Comedy Drama
6466,Robert Englund,Ken Kirzinger,Jason Ritter,Ronny Yu,Freddy vs. Jason,Horror,Robert Englund Ken Kirzinger Jason Ritter Ronny Yu Horror
6470,Nicolas Cage,Tommy Lee Jones,Sean Young,David Green,Fire Birds,Action Adventure,Nicolas Cage Tommy Lee Jones Sean Young David Green Action Adventure
6471,Steve Martin,Bernadette Peters,Catlin Adams,Carl Reiner,The Jerk,Comedy,Steve Martin Bernadette Peters Catlin Adams Carl Reiner Comedy
6472,Nicolas Cage,Shirley MacLaine,Austin Pendleton,Hugh Wilson,Guarding Tess,Comedy Drama Thriller,Nicolas Cage Shirley MacLaine Austin Pendleton Hugh Wilson Comedy Drama Thriller
6473,Wesley Snipes,Emma Samms,William Hope,Marcus Adams,The Marksman,Action Adventure Thriller,Wesley Snipes Emma Samms William Hope Marcus Adams Action Adventure Thriller
6474,Burt Reynolds,Aldo Sambrell,Nicoletta Machiavelli,Sergio Corbucci,Navajo Joe,Action Western,Burt Reynolds Aldo Sambrell Nicoletta Machiavelli Sergio Corbucci Action Western
6476,Charles Bronson,Jill Ireland,Douglas Fowley,Frank D. Gilroy,From Noon Till Three,Comedy Western,Charles Bronson Jill Ireland Douglas Fowley Frank D. Gilroy Comedy Western
6477,Jason Lee,David Cross,Cameron Richardson,Tim Hill,Alvin and the Chipmunks,Comedy Music Family Fantasy Animation,Jason Lee David Cross Cameron Richardson Tim Hill Comedy Music Family Fantasy Animation
6478,Kevin Spacey,Kate Bosworth,John Goodman,Kevin Spacey,Beyond the Sea,Drama Music,Kevin Spacey Kate Bosworth John Goodman Kevin Spacey Drama Music
6479,Will Smith,Alice Braga,Charlie Tahan,Francis Lawrence,I Am Legend,Drama Horror Action Thriller Sci-Fi,Will Smith Alice Braga Charlie Tahan Francis Lawrence Drama Horror Action Thriller Sci-Fi
6488,Jeff Daniels,Harley Jane Kozak,Garette Ratliff Henson,Frank Marshall,Arachnophobia,Comedy Horror,Jeff Daniels Harley Jane Kozak Garette Ratliff Henson Frank Marshall Comedy Horror
6498,Nikolaj Coster-Waldau,Kim Bodnia,Rikke Louise Andersson,Ole Bornedal,Nattevagten,Horror Thriller,Nikolaj Coster-Waldau Kim Bodnia Rikke Louise Andersson Ole Bornedal Horror Thriller
6499,Johnny Yong Bosch,Nakia Burrise,Jason David Frank,Shuki Levy David Winning,Turbo: A Power Rangers Movie,Action Adventure Family Fantasy Sci-Fi Thriller,Johnny Yong Bosch Nakia Burrise Jason David Frank Shuki Levy David Winning Action Adventure Family Fantasy Sci-Fi Thriller
6519,Johnny Knoxville,Seann William Scott,Jessica Simpson,Jay Chandrasekhar,The Dukes of Hazzard,Action Adventure Comedy,Johnny Knoxville Seann William Scott Jessica Simpson Jay Chandrasekhar Action Adventure Comedy
6520,Sean Connery,Richard Gere,Julia Ormond,Jerry Zucker,First Knight,Action Adventure Drama Romance,Sean Connery Richard Gere Julia Ormond Jerry Zucker Action Adventure Drama Romance
6521,Gary Oldman,Joan Allen,Jeff Bridges,Rod Lurie,The Contender,Drama Thriller,Gary Oldman Joan Allen Jeff Bridges Rod Lurie Drama Thriller
6522,Eddie Murphy,Martin Lawrence,Obba Babatundé,Ted Demme,Life,Comedy Crime,Eddie Murphy Martin Lawrence Obba Babatundé Ted Demme Comedy Crime
6523,John Wayne,Stewart Granger,Ernie Kovacs,Henry Hathaway,North to Alaska,Western,John Wayne Stewart Granger Ernie Kovacs Henry Hathaway Western
6524,Mel Brooks,Lesley Ann Warren,Jeffrey Tambor,Mel Brooks,Life Stinks,Comedy,Mel Brooks Lesley Ann Warren Jeffrey Tambor Mel Brooks Comedy
6529,John Wayne,Geraldine Page,Ward Bond,John Farrow,Hondo,Western,John Wayne Geraldine Page Ward Bond John Farrow Western
6535,Don Cheadle,Chiwetel Ejiofor,Taraji P. Henson,Kasi Lemmons,Talk to Me,Drama,Don Cheadle Chiwetel Ejiofor Taraji P. Henson Kasi Lemmons Drama
6537,Belén Rueda,Fernando Cayo,Roger Príncep,Juan Antonio Bayona,El orfanato,Horror Drama Thriller,Belén Rueda Fernando Cayo Roger Príncep Juan Antonio Bayona Horror Drama Thriller
6538,Tom Hanks,Philip Seymour Hoffman,Julia Roberts,Mike Nichols,Charlie Wilson's War,Comedy Drama History,Tom Hanks Philip Seymour Hoffman Julia Roberts Mike Nichols Comedy Drama History
6547,Götz George,Uwe Ochsenknecht,Christiane Hörbiger,Helmut Dietl,Schtonk!,History Comedy,Götz George Uwe Ochsenknecht Christiane Hörbiger Helmut Dietl History Comedy
6552,Devon Sawa,Seth Green,Jessica Alba,Rodman Flender,Idle Hands,Thriller Comedy Horror,Devon Sawa Seth Green Jessica Alba Rodman Flender Thriller Comedy Horror
6557,Katherine Heigl,James Marsden,Malin Åkerman,Anne Fletcher,27 Dresses,Comedy Romance,Katherine Heigl James Marsden Malin Åkerman Anne Fletcher Comedy Romance
6575,John C. Reilly,Jenna Fischer,Tim Meadows,Jake Kasdan,Walk Hard: The Dewey Cox Story,Comedy Music,John C. Reilly Jenna Fischer Tim Meadows Jake Kasdan Comedy Music
6589,Jason Lee,Peter Dinklage,Jim Belushi,Frederik Du Chau,Underdog,Action Adventure Comedy Family,Jason Lee Peter Dinklage Jim Belushi Frederik Du Chau Action Adventure Comedy Family
6591,Fabio Testi,Karin Baal,Joachim Fuchsberger,Massimo Dallamano,Cosa avete fatto a Solange?,Mystery Thriller,Fabio Testi Karin Baal Joachim Fuchsberger Massimo Dallamano Mystery Thriller
6593,Masahiro Takashima,Ryoko Sano,Megumi Odaka,Takao Okawara,ゴジラvsメカゴジラ,Action Drama Fantasy Foreign Sci-Fi,Masahiro Takashima Ryoko Sano Megumi Odaka Takao Okawara Action Drama Fantasy Foreign Sci-Fi
6609,Franco Nero,Woody Strode,Olga Karlatos,Enzo G. Castellari,Keoma,Action Western,Franco Nero Woody Strode Olga Karlatos Enzo G. Castellari Action Western
6610,Robert Mitchum,Julie London,Gary Merrill,Robert Parrish,The Wonderful Country,Western,Robert Mitchum Julie London Gary Merrill Robert Parrish Western
6615,Ryan Gosling,Emily Mortimer,Paul Schneider,Craig Gillespie,Lars and the Real Girl,Comedy Romance Drama,Ryan Gosling Emily Mortimer Paul Schneider Craig Gillespie Comedy Romance Drama
6619,Dirk Bogarde,Björn Andrésen,Silvana Mangano,Luchino Visconti,Morte a Venezia,Drama,Dirk Bogarde Björn Andrésen Silvana Mangano Luchino Visconti Drama
6623,George Clooney,Nicole Kidman,Marcel Iureș,Mimi Leder,The Peacemaker,Action Thriller,George Clooney Nicole Kidman Marcel Iureș Mimi Leder Action Thriller
6636,Guillermo Arengo,Germán de Silva,Arturo Goetz,Pablo Fendrik,El asaltante,Drama Foreign,Guillermo Arengo Germán de Silva Arturo Goetz Pablo Fendrik Drama Foreign
6637,Nicolas Cage,Jon Voight,Harvey Keitel,Jon Turteltaub,National Treasure: Book of Secrets,Action Adventure Mystery Thriller,Nicolas Cage Jon Voight Harvey Keitel Jon Turteltaub Action Adventure Mystery Thriller
6639,Javier Bardem,Unax Ugalde,Benjamin Bratt,Mike Newell,Love in the Time of Cholera,Drama Romance,Javier Bardem Unax Ugalde Benjamin Bratt Mike Newell Drama Romance
6641,Brittany Murphy,Matthew Rhys,Santiago Cabrera,Alek Keshishian,Love and Other Disasters,Comedy Romance,Brittany Murphy Matthew Rhys Santiago Cabrera Alek Keshishian Comedy Romance
6643,Burt Lancaster,Audrey Hepburn,Audie Murphy,John Huston,The Unforgiven,Romance Western Drama,Burt Lancaster Audrey Hepburn Audie Murphy John Huston Romance Western Drama
6644,John Wayne,Robert Mitchum,James Caan,Howard Hawks,El Dorado,Western,John Wayne Robert Mitchum James Caan Howard Hawks Western
6687,Woody Harrelson,Emily Mortimer,Kate Mara,Brad Anderson,Transsiberian,Thriller Crime Mystery,Woody Harrelson Emily Mortimer Kate Mara Brad Anderson Thriller Crime Mystery
6691,Gad Elmaleh,Audrey Tautou,Marie-Christine Adam,Pierre Salvadori,Hors de prix,Drama Comedy Romance,Gad Elmaleh Audrey Tautou Marie-Christine Adam Pierre Salvadori Drama Comedy Romance
6715,Brad Renfro,Joseph Mazzello,Annabella Sciorra,Peter Horton,The Cure,Drama Family,Brad Renfro Joseph Mazzello Annabella Sciorra Peter Horton Drama Family
6733,Til Schweiger,Alexandra Maria Lara,Jürgen Vogel,Anno Saul,Wo ist Fred?,Comedy,Til Schweiger Alexandra Maria Lara Jürgen Vogel Anno Saul Comedy
6793,Arnold Korff,Lulu Kyser-Korff,Lothar Mehnert,F.W. Murnau,Schloß Vogeloed,Crime Drama Horror,Arnold Korff Lulu Kyser-Korff Lothar Mehnert F.W. Murnau Crime Drama Horror
6795,Jonah Bobo,Josh Hutcherson,Dax Shepard,Jon Favreau,Zathura: A Space Adventure,Family Fantasy Sci-Fi Adventure,Jonah Bobo Josh Hutcherson Dax Shepard Jon Favreau Family Fantasy Sci-Fi Adventure
6877,Matthew McConaughey,Sarah Jessica Parker,Zooey Deschanel,Tom Dey,Failure to Launch,Comedy,Matthew McConaughey Sarah Jessica Parker Zooey Deschanel Tom Dey Comedy
6878,Michael J. Fox,Sally Field,Don Ameche,Duwayne Dunham,Homeward Bound: The Incredible Journey,Adventure Comedy Drama Family,Michael J. Fox Sally Field Don Ameche Duwayne Dunham Adventure Comedy Drama Family
6883,Charlton Heston,John Cassavetes,Martin Balsam,Larry Peerce,Two-Minute Warning,Action Thriller,Charlton Heston John Cassavetes Martin Balsam Larry Peerce Action Thriller
6884,Michael Weston,Diedrich Bader,Chris Parnell,Chris Matheson,Evil Alien Conquerors,Comedy Sci-Fi,Michael Weston Diedrich Bader Chris Parnell Chris Matheson Comedy Sci-Fi
6916,Terence Hill,Bud Spencer,Patty Shepard,Marcello Fondato,...altrimenti ci arrabbiamo!,Action Comedy,Terence Hill Bud Spencer Patty Shepard Marcello Fondato Action Comedy
6917,Stephen Dorff,Christa Denton,Louis Tripp,Tibor Takács,The Gate,Horror Fantasy,Stephen Dorff Christa Denton Louis Tripp Tibor Takács Horror Fantasy
6933,Shannyn Sossamon,Edward Burns,Ana Claudia Talancón,Eric Valette,One Missed Call,Horror Mystery Thriller,Shannyn Sossamon Edward Burns Ana Claudia Talancón Eric Valette Horror Mystery Thriller
6934,Leleti Khumalo,Kenneth Khambula,Harriet Lenabe,Darrell James Roodt,Yesterday,Drama,Leleti Khumalo Kenneth Khambula Harriet Lenabe Darrell James Roodt Drama
6935,Châu Belle Dinh,Williams Belle,Malik Diouf,Ariel Zeitoun Julien Seri,Yamakasi - Les samouraïs des temps modernes,Action Crime Drama,Châu Belle Dinh Williams Belle Malik Diouf Ariel Zeitoun Julien Seri Action Crime Drama
6936,Greg Timmermans,Laura Verlinden,Marijke Pinoy,Nic Balthazar,Ben X,Drama,Greg Timmermans Laura Verlinden Marijke Pinoy Nic Balthazar Drama
6945,Karl Malden,Andrew Stevens,Steve Guttenberg,Steven Hilliard Stern,Miracle on Ice,Drama Family,Karl Malden Andrew Stevens Steve Guttenberg Steven Hilliard Stern Drama Family
6947,Bryce Dallas Howard,Joaquin Phoenix,Adrien Brody,M. Night Shyamalan,The Village,Drama Mystery Thriller,Bryce Dallas Howard Joaquin Phoenix Adrien Brody M. Night Shyamalan Drama Mystery Thriller
6948,Agnes Bruckner,Patricia Clarkson,Rachel Nichols,Lucky McKee,The Woods,Mystery Horror Thriller,Agnes Bruckner Patricia Clarkson Rachel Nichols Lucky McKee Mystery Horror Thriller
6949,Barbra Streisand,Ryan O'Neal,Madeline Kahn,Peter Bogdanovich,"What's Up, Doc?",Comedy Romance,Barbra Streisand Ryan O'Neal Madeline Kahn Peter Bogdanovich Comedy Romance
6950,Dustin Hoffman,Rene Russo,Morgan Freeman,Wolfgang Petersen,Outbreak,Action Drama Sci-Fi Thriller,Dustin Hoffman Rene Russo Morgan Freeman Wolfgang Petersen Action Drama Sci-Fi Thriller
6951,Tom Hanks,Mare Winningham,Craig T. Nelson,Roger Spottiswoode,Turner & Hooch,Action Comedy Thriller Crime Family,Tom Hanks Mare Winningham Craig T. Nelson Roger Spottiswoode Action Comedy Thriller Crime Family
6957,Steve Carell,Catherine Keener,Paul Rudd,Judd Apatow,The 40 Year Old Virgin,Comedy Romance,Steve Carell Catherine Keener Paul Rudd Judd Apatow Comedy Romance
6961,Debra Messing,Dermot Mulroney,Amy Adams,Clare Kilner,The Wedding Date,Comedy Romance,Debra Messing Dermot Mulroney Amy Adams Clare Kilner Comedy Romance
6962,Matthias Koeberlin,Naike Rivelli,Manou Lubowski,Sebastian Niemann,Das Jesus Video,Adventure,Matthias Koeberlin Naike Rivelli Manou Lubowski Sebastian Niemann Adventure
6963,Nicolas Cage,Michael Caine,Hope Davis,Gore Verbinski,The Weather Man,Comedy Drama,Nicolas Cage Michael Caine Hope Davis Gore Verbinski Comedy Drama
6964,Jack Nicholson,Diane Keaton,Keanu Reeves,Nancy Meyers,Something's Gotta Give,Drama Comedy Romance,Jack Nicholson Diane Keaton Keanu Reeves Nancy Meyers Drama Comedy Romance
6967,Nina Hoss,Jacky Ido,Katja Flint,Hermine Huntgeburth,Die weisse Massai,Drama,Nina Hoss Jacky Ido Katja Flint Hermine Huntgeburth Drama
6968,Martina Gedeck,Moritz Bleibtreu,Johanna Wokalek,Uli Edel,Der Baader Meinhof Komplex,Action Crime Drama History Thriller,Martina Gedeck Moritz Bleibtreu Johanna Wokalek Uli Edel Action Crime Drama History Thriller
6970,Johnathon Schaech,Rod Taylor,Susie Porter,Stephan Elliott,Welcome to Woop Woop,Music Comedy Fantasy Adventure,Johnathon Schaech Rod Taylor Susie Porter Stephan Elliott Music Comedy Fantasy Adventure
6972,Nicole Kidman,Hugh Jackman,Essie Davis,Baz Luhrmann,Australia,Drama,Nicole Kidman Hugh Jackman Essie Davis Baz Luhrmann Drama
6973,Tommy Lee Jones,Charlize Theron,Susan Sarandon,Paul Haggis,In the Valley of Elah,History Drama Thriller Crime Mystery,Tommy Lee Jones Charlize Theron Susan Sarandon Paul Haggis History Drama Thriller Crime Mystery
6974,Gerald Mohr,Naura Hayden,Les Tremayne,Ib Melchior,The Angry Red Planet,Adventure Sci-Fi,Gerald Mohr Naura Hayden Les Tremayne Ib Melchior Adventure Sci-Fi
6976,Shelley Winters,Mark Lester,Chloe Franks,Curtis Harrington,Whoever Slew Auntie Roo?,Horror Thriller,Shelley Winters Mark Lester Chloe Franks Curtis Harrington Horror Thriller
6977,Tommy Lee Jones,Javier Bardem,Josh Brolin,Joel Coen Ethan Coen,No Country for Old Men,Crime Drama Thriller,Tommy Lee Jones Javier Bardem Josh Brolin Joel Coen Ethan Coen Crime Drama Thriller
6978,Kurt Russell,Kim Cattrall,Dennis Dun,John Carpenter,Big Trouble in Little China,Action Adventure Comedy Fantasy,Kurt Russell Kim Cattrall Dennis Dun John Carpenter Action Adventure Comedy Fantasy
6980,Joey Lawrence,Susan Walters,M.C. Gainey,Greg Beeman,Horse Sense,Drama,Joey Lawrence Susan Walters M.C. Gainey Greg Beeman Drama
6984,Nancy Allen,Mary Davenport,Kirk Douglas,Brian De Palma,Home Movies,Comedy,Nancy Allen Mary Davenport Kirk Douglas Brian De Palma Comedy
7006,Nathan Fillion,Katee Sackhoff,Craig Fairbrass,Patrick Lussier,White Noise 2: The Light,Thriller Drama Horror Fantasy,Nathan Fillion Katee Sackhoff Craig Fairbrass Patrick Lussier Thriller Drama Horror Fantasy
7007,Sean Connery,Wesley Snipes,Harvey Keitel,Philip Kaufman,Rising Sun,Action Drama Thriller,Sean Connery Wesley Snipes Harvey Keitel Philip Kaufman Action Drama Thriller
7008,Sidney Poitier,Michael Caine,Nicol Williamson,Ralph Nelson,The Wilby Conspiracy,Action Adventure Drama Thriller,Sidney Poitier Michael Caine Nicol Williamson Ralph Nelson Action Adventure Drama Thriller
7010,Richard Burton,Roger Moore,Richard Harris,Andrew V. McLaglen,The Wild Geese,Action Thriller War,Richard Burton Roger Moore Richard Harris Andrew V. McLaglen Action Thriller War
7011,Joshua Morrell,Eva Kryll,Tammy Shields,Roland Emmerich,Joey,Sci-Fi Fantasy Horror Adventure,Joshua Morrell Eva Kryll Tammy Shields Roland Emmerich Sci-Fi Fantasy Horror Adventure
7012,Jason Robards,John Cullum,JoBeth Williams,Nicholas Meyer,The Day After,TV Movie Sci-Fi Drama,Jason Robards John Cullum JoBeth Williams Nicholas Meyer TV Movie Sci-Fi Drama
7014,Michel Piccoli,Miou-Miou,Béatrice Romand,Claude Faraldo,Themroc,Comedy,Michel Piccoli Miou-Miou Béatrice Romand Claude Faraldo Comedy
7015,Jeff Bridges,Edward Furlong,Lucinda Jenney,Martin Bell,American Heart,Crime Drama,Jeff Bridges Edward Furlong Lucinda Jenney Martin Bell Crime Drama
7085,Lex Barker,Pierre Brice,Sophie Hardy,Harald Reinl,Winnetou III,Adventure Western,Lex Barker Pierre Brice Sophie Hardy Harald Reinl Adventure Western
7088,Patrick J. Adams,Lindy Booth,Jonathan Cherry,Neill Fearnley,Christmas in Boston,Comedy Drama Romance,Patrick J. Adams Lindy Booth Jonathan Cherry Neill Fearnley Comedy Drama Romance
7090,James Ransone,Tiffany Limos,Maeve Quinlan,Edward Lachman Larry Clark,Ken Park,Drama,James Ransone Tiffany Limos Maeve Quinlan Edward Lachman Larry Clark Drama
7091,Nicolas Cage,María Conchita Alonso,Jennifer Beals,Robert Bierman,Vampire's Kiss,Comedy Horror,Nicolas Cage María Conchita Alonso Jennifer Beals Robert Bierman Comedy Horror
7092,Hugh Jackman,Robbie Coltrane,David Wenham,Sharon Bridgeman,Van Helsing: The London Assignment,Action Animation Fantasy Horror,Hugh Jackman Robbie Coltrane David Wenham Sharon Bridgeman Action Animation Fantasy Horror
7093,Gérard Depardieu,Uma Thurman,Tim Roth,Roland Joffé,Vatel,History Drama Romance,Gérard Depardieu Uma Thurman Tim Roth Roland Joffé History Drama Romance
7095,Robin Williams,Diane Lane,Brian Kerwin,Francis Ford Coppola,Jack,Comedy Drama Sci-Fi,Robin Williams Diane Lane Brian Kerwin Francis Ford Coppola Comedy Drama Sci-Fi
7096,Sam Neill,Helena Bonham Carter,Miranda Richardson,Steve Barron,Merlin,Adventure Drama Fantasy,Sam Neill Helena Bonham Carter Miranda Richardson Steve Barron Adventure Drama Fantasy
7131,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,Stephen Sommers,Van Helsing,Horror Adventure Action,Hugh Jackman Kate Beckinsale Richard Roxburgh Stephen Sommers Horror Adventure Action
7182,Agnes Bruckner,Jonathan Jackson,Laura Ramsey,Jim Gillespie,Venom,Horror Thriller,Agnes Bruckner Jonathan Jackson Laura Ramsey Jim Gillespie Horror Thriller
7183,Halle Berry,Bruce Willis,Giovanni Ribisi,James Foley,Perfect Stranger,Crime Drama Mystery Thriller,Halle Berry Bruce Willis Giovanni Ribisi James Foley Crime Drama Mystery Thriller
7191,Lizzy Caplan,Jessica Lucas,Odette Annable,Matt Reeves,Cloverfield,Action Thriller Sci-Fi,Lizzy Caplan Jessica Lucas Odette Annable Matt Reeves Action Thriller Sci-Fi
7210,Wotan Wilke Möhring,Justus von Dohnányi,Anna Dereszowska,Christian Zübert,Hardcover,Comedy,Wotan Wilke Möhring Justus von Dohnányi Anna Dereszowska Christian Zübert Comedy
7211,Steve Carell,Juliette Binoche,Dane Cook,Peter Hedges,Dan in Real Life,Comedy Romance Drama,Steve Carell Juliette Binoche Dane Cook Peter Hedges Comedy Romance Drama
7214,Samuel L. Jackson,Rob Brown,Robert Ri'chard,Thomas Carter,Coach Carter,Drama,Samuel L. Jackson Rob Brown Robert Ri'chard Thomas Carter Drama
7216,Ian McCulloch,Alexandra Delli Colli,Sherry Buchanan,Marino Girolami,Zombi Holocaust,Horror,Ian McCulloch Alexandra Delli Colli Sherry Buchanan Marino Girolami Horror
7219,Tisa Farrow,Ian McCulloch,Richard Johnson,Lucio Fulci,Zombi 2,Horror,Tisa Farrow Ian McCulloch Richard Johnson Lucio Fulci Horror
7227,Jack Lemmon,Lee Grant,Brenda Vaccaro,Jerry Jameson,Airport '77,Action Adventure Drama Thriller,Jack Lemmon Lee Grant Brenda Vaccaro Jerry Jameson Action Adventure Drama Thriller
7229,Gérard Depardieu,Jean Reno,Richard Berry,Francis Veber,Tais-toi !,Comedy Crime,Gérard Depardieu Jean Reno Richard Berry Francis Veber Comedy Crime
7233,Martin Lawrence,Wendy Raquel Robinson,Breckin Meyer,Steve Carr,Rebound,Comedy Family,Martin Lawrence Wendy Raquel Robinson Breckin Meyer Steve Carr Comedy Family
7234,Bo Svenson,Vidal Peterson,Thom Christopher,Héctor Olivera,Wizards of the Lost Kingdom,Action Adventure Fantasy,Bo Svenson Vidal Peterson Thom Christopher Héctor Olivera Action Adventure Fantasy
7237,Mel Welles,Robert Jayne,David Carradine,Charles B. Griffith,Wizards of the Lost Kingdom II,Action Fantasy,Mel Welles Robert Jayne David Carradine Charles B. Griffith Action Fantasy
7249,John DiMaggio,Al Gore,Billy West,Dwayne Carey-Hill,Futurama: Bender's Big Score,Animation Comedy Sci-Fi,John DiMaggio Al Gore Billy West Dwayne Carey-Hill Animation Comedy Sci-Fi
7269,Vince Edwards,David Mendenhall,Drew Snyder,Howard R. Cohen,Space Raiders,Action Adventure Sci-Fi,Vince Edwards David Mendenhall Drew Snyder Howard R. Cohen Action Adventure Sci-Fi
7270,Nicolas Cage,Sam Rockwell,Alison Lohman,Ridley Scott,Matchstick Men,Comedy Drama Crime Thriller,Nicolas Cage Sam Rockwell Alison Lohman Ridley Scott Comedy Drama Crime Thriller
7274,Jorge Román,Daniel Valenzuela,José Muñoz,Santiago Otheguy,La León,Drama,Jorge Román Daniel Valenzuela José Muñoz Santiago Otheguy Drama
7278,Sean Maguire,Carmen Electra,Ken Davitian,Jason Friedberg Aaron Seltzer,Meet the Spartans,Comedy,Sean Maguire Carmen Electra Ken Davitian Jason Friedberg Aaron Seltzer Comedy
7288,Ben Stiller,Drew Barrymore,Eileen Essell,Danny DeVito,Duplex,Action Comedy Thriller,Ben Stiller Drew Barrymore Eileen Essell Danny DeVito Action Comedy Thriller
7290,Leslie Nielsen,Ophélie Winter,Ezio Greggio,Allan A. Goldstein,2001: A Space Travesty,Comedy Sci-Fi,Leslie Nielsen Ophélie Winter Ezio Greggio Allan A. Goldstein Comedy Sci-Fi
7291,Daniel Auteuil,Gérard Depardieu,André Dussollier,Olivier Marchal,36 Quai des Orfèvres,Crime Drama Thriller,Daniel Auteuil Gérard Depardieu André Dussollier Olivier Marchal Crime Drama Thriller
7294,Markku Peltola,Kati Outinen,Juhani Niemelä,Aki Kaurismäki,Mies vailla menneisyyttä,Romance Comedy Drama,Markku Peltola Kati Outinen Juhani Niemelä Aki Kaurismäki Romance Comedy Drama
7295,Johnathon Schaech,Lori Heuring,Bruce Davison,J.S. Cardone,8MM 2,Thriller Mystery Drama,Johnathon Schaech Lori Heuring Bruce Davison J.S. Cardone Thriller Mystery Drama
7298,Til Schweiger,Lauren Lee Smith,Sebastien Roberts,Reto Salimbeni,One Way,Crime Foreign Mystery Thriller,Til Schweiger Lauren Lee Smith Sebastien Roberts Reto Salimbeni Crime Foreign Mystery Thriller
7299,Christian Bale,Taye Diggs,Emily Watson,Kurt Wimmer,Equilibrium,Action Sci-Fi Thriller,Christian Bale Taye Diggs Emily Watson Kurt Wimmer Action Sci-Fi Thriller
7300,Michelle Pfeiffer,George Clooney,Mae Whitman,Michael Hoffman,One Fine Day,Comedy Romance,Michelle Pfeiffer George Clooney Mae Whitman Michael Hoffman Comedy Romance
7301,Casey Affleck,Kevin Corrigan,Liv Tyler,Steve Buscemi,Lonesome Jim,Comedy Drama Romance,Casey Affleck Kevin Corrigan Liv Tyler Steve Buscemi Comedy Drama Romance
7303,Jennifer Lopez,Ralph Fiennes,Natasha Richardson,Wayne Wang,Maid in Manhattan,Comedy Drama Romance,Jennifer Lopez Ralph Fiennes Natasha Richardson Wayne Wang Comedy Drama Romance
7305,Ethan Hawke,Vincent Spano,Josh Hamilton,Frank Marshall,Alive,Action Adventure Drama Thriller,Ethan Hawke Vincent Spano Josh Hamilton Frank Marshall Action Adventure Drama Thriller
7326,Ellen Page,Michael Cera,Jennifer Garner,Jason Reitman,Juno,Comedy Drama Romance,Ellen Page Michael Cera Jennifer Garner Jason Reitman Comedy Drama Romance
7341,Emily Bergl,Jason London,Amy Irving,Katt Shea,The Rage: Carrie 2,Horror Thriller Sci-Fi,Emily Bergl Jason London Amy Irving Katt Shea Horror Thriller Sci-Fi
7342,Angela Bettis,Patricia Clarkson,Rena Sofer,David Carson,Carrie,TV Movie Drama Horror,Angela Bettis Patricia Clarkson Rena Sofer David Carson TV Movie Drama Horror
7343,Douglas Silva,Darlan Cunha,Jonathan Haagensen,Paulo Morelli,Cidade dos Homens,Drama,Douglas Silva Darlan Cunha Jonathan Haagensen Paulo Morelli Drama
7344,Max Mauff,Kristyna Malérová,Assun Planas,Veit Helmer,Absurdistan,Comedy Romance,Max Mauff Kristyna Malérová Assun Planas Veit Helmer Comedy Romance
7345,Daniel Day-Lewis,Paul Dano,Dillon Freasier,Paul Thomas Anderson,There Will Be Blood,Drama,Daniel Day-Lewis Paul Dano Dillon Freasier Paul Thomas Anderson Drama
7346,Simon Yam,Kelly Lin,Gordon Lam Ka-Tung,Johnnie To,文雀,Thriller,Simon Yam Kelly Lin Gordon Lam Ka-Tung Johnnie To Thriller
7347,Wagner Moura,Caio Junqueira,André Ramiro,José Padilha,Tropa de Elite,Drama Action Crime,Wagner Moura Caio Junqueira André Ramiro José Padilha Drama Action Crime
7348,Paul Mantee,Victor Lundin,Adam West,Byron Haskin,Robinson Crusoe on Mars,Drama Sci-Fi,Paul Mantee Victor Lundin Adam West Byron Haskin Drama Sci-Fi
7350,Jack Nicholson,Morgan Freeman,Sean Hayes,Rob Reiner,The Bucket List,Drama Comedy,Jack Nicholson Morgan Freeman Sean Hayes Rob Reiner Drama Comedy
7351,Tilda Swinton,Kate del Castillo,Aidan Gould,Erick Zonca,Julia,Drama,Tilda Swinton Kate del Castillo Aidan Gould Erick Zonca Drama
7353,Julia Roberts,Carrie-Anne Moss,Willem Dafoe,Dennis Lee,Fireflies in the Garden,Drama,Julia Roberts Carrie-Anne Moss Willem Dafoe Dennis Lee Drama
